text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
三去开背淡盐南海大黄鱼350-400g,90,"[{""start"": 9, ""end"": 11, ""text"": ""黄鱼"", ""labels"": [""PRD""]}, {""start"": 11, ""end"": 14, ""text"": ""350"", ""labels"": [""WGT""]}, {""start"": 15, ""end"": 18, ""text"": ""400"", ""labels"": [""WGT""]}]",1,90,2022-02-04T03:43:35.110444Z,2022-02-04T03:43:35.110468Z,23.912
一级酥皮月饼,89,"[{""start"": 4, ""end"": 6, ""text"": ""月饼"", ""labels"": [""PRD""]}]",1,89,2022-02-04T03:43:09.576467Z,2022-02-04T03:43:09.576491Z,5.09
一杏两吃！新疆特产树上杏干！库车小白杏干休闲零食500g/袋包邮,88,"[{""start"": 11, ""end"": 13, ""text"": ""杏干"", ""labels"": [""PRD""]}, {""start"": 18, ""end"": 20, ""text"": ""杏干"", ""labels"": [""PRD""]}, {""start"": 22, ""end"": 24, ""text"": ""零食"", ""labels"": [""PRD""]}, {""start"": 24, ""end"": 27, ""text"": ""500"", ""labels"": [""WGT""]}]",1,88,2022-02-04T03:43:01.735652Z,2022-02-04T03:43:01.735674Z,27.591
【门店发货】康龙男鞋 秋季男秋版休闲鞋牛皮革时尚板休滑板鞋,87,"[{""start"": 6, ""end"": 8, ""text"": ""康龙"", ""labels"": [""BAND""]}, {""start"": 26, ""end"": 29, ""text"": ""滑板鞋"", ""labels"": [""PRD""]}, {""start"": 16, ""end"": 19, ""text"": ""休闲鞋"", ""labels"": [""PRD""]}]",1,87,2022-02-04T03:42:32.875413Z,2022-02-04T03:42:32.875436Z,26.896
【门店发货】奥康男鞋 工装风格男士休闲鞋正装秋季绒面,86,"[{""start"": 17, ""end"": 20, ""text"": ""休闲鞋"", ""labels"": [""PRD""]}, {""start"": 6, ""end"": 8, ""text"": ""奥康"", ""labels"": [""BAND""]}]",1,86,2022-02-04T03:42:03.857309Z,2022-02-04T03:42:03.857332Z,10.098
【钓鱼猫系列】51713大红薄棉开裆宝宝套（一手价一手2件）,85,,1,85,2022-02-04T03:41:52.282411Z,2022-02-04T03:41:52.282433Z,10.23
【酷暑福利 5件6.8折】匡威工装迷彩裤,84,"[{""start"": 17, ""end"": 20, ""text"": ""迷彩裤"", ""labels"": [""PRD""]}, {""start"": 13, ""end"": 15, ""text"": ""匡威"", ""labels"": [""BAND""]}]",1,69,2022-02-04T03:39:32.080026Z,2022-02-04T03:39:32.080056Z,14.563
【通江扶贫】通江特产竹荪50g 基地直采！,83,"[{""start"": 12, ""end"": 14, ""text"": ""50"", ""labels"": [""WGT""]}, {""start"": 10, ""end"": 12, ""text"": ""竹荪"", ""labels"": [""PRD""]}]",1,68,2022-02-04T03:39:12.627809Z,2022-02-04T03:39:12.627832Z,9.206
【进口】红牛维生素风味饮料250ml*24罐/箱运动功能饮料,82,"[{""start"": 11, ""end"": 13, ""text"": ""饮料"", ""labels"": [""PRD""]}, {""start"": 13, ""end"": 16, ""text"": ""250"", ""labels"": [""WGT""]}, {""start"": 19, ""end"": 21, ""text"": ""24"", ""labels"": [""CNT""]}]",1,67,2022-02-04T03:39:01.727802Z,2022-02-04T03:39:01.727829Z,21.141
【货号05753】电锤油盖扳手冲击钻油封盖专用扳手云石机扳手,81,"[{""start"": 23, ""end"": 25, ""text"": ""扳手"", ""labels"": [""PRD""]}]",1,66,2022-02-04T03:38:39.156730Z,2022-02-04T03:38:39.156756Z,7.033
【货号01890】修理博士26电锤定子插片 东成电锤配件塑插,80,"[{""start"": 17, ""end"": 21, ""text"": ""定子插片"", ""labels"": [""PRD""]}]",1,65,2022-02-04T03:38:29.365874Z,2022-02-04T03:38:29.365896Z,23.56
【货号01815】空压机配件锋利款空压机双阀总成放气阀门,79,"[{""start"": 26, ""end"": 28, ""text"": ""阀门"", ""labels"": [""PRD""]}]",1,84,2022-02-04T03:41:40.873579Z,2022-02-04T03:41:40.873620Z,9.075
【视频号直播专享】丹尼兔的八音盒,78,"[{""start"": 13, ""end"": 16, ""text"": ""八音盒"", ""labels"": [""PRD""]}, {""start"": 9, ""end"": 12, ""text"": ""丹尼兔"", ""labels"": [""BAND""]}]",1,64,2022-02-04T03:35:55.966396Z,2022-02-04T03:35:55.966417Z,128.775
【精选】小雨作文 黄冈作文小学生满分作文,76,,1,83,2022-02-04T03:41:29.590951Z,2022-02-04T03:41:29.590973Z,3.182
【精选】2021金考卷活页题选－九年级数学上人教,75,"[{""start"": 13, ""end"": 15, ""text"": ""题选"", ""labels"": [""PRD""]}]",1,62,2022-02-04T03:33:25.335360Z,2022-02-04T03:33:25.335385Z,10.952
【积分兑换】恒优米 越光(宝盒)大米3.6KG,74,"[{""start"": 16, ""end"": 18, ""text"": ""大米"", ""labels"": [""PRD""]}, {""start"": 18, ""end"": 21, ""text"": ""3.6"", ""labels"": [""WGT""]}, {""start"": 6, ""end"": 9, ""text"": ""恒优米"", ""labels"": [""BAND""]}]",1,61,2022-02-04T03:33:12.502286Z,2022-02-04T03:33:12.502309Z,14.543
【白菜价正品】日系​小‌熊‌保‎暖内‌衣‌套装 四色自发热打底内搭,73,"[{""start"": 17, ""end"": 23, ""text"": ""内‌衣‌套装"", ""labels"": [""PRD""]}]",1,60,2022-02-04T03:32:47.953453Z,2022-02-04T03:32:47.953478Z,12.08
【男人的食补佳品】黑芝麻丸,72,"[{""start"": 12, ""end"": 13, ""text"": ""丸"", ""labels"": [""PRD""]}]",1,59,2022-02-04T03:32:34.745404Z,2022-02-04T03:32:34.745426Z,19.03
【现货】黎乾升 至善系列·婺源绿茶 2021年新茶 礼盒装100g 包邮,71,"[{""start"": 15, ""end"": 17, ""text"": ""绿茶"", ""labels"": [""PRD""]}, {""start"": 4, ""end"": 7, ""text"": ""黎乾升"", ""labels"": [""BAND""]}, {""start"": 29, ""end"": 32, ""text"": ""100"", ""labels"": [""WGT""]}]",1,58,2022-02-04T03:32:13.600022Z,2022-02-04T03:32:13.600049Z,147.222
【澳洲直邮】 德运Devondale 成人奶粉袋装 1kg,70,"[{""start"": 7, ""end"": 9, ""text"": ""德运"", ""labels"": [""BAND""]}, {""start"": 9, ""end"": 18, ""text"": ""Devondale"", ""labels"": [""BAND""]}, {""start"": 21, ""end"": 23, ""text"": ""奶粉"", ""labels"": [""PRD""]}, {""start"": 26, ""end"": 27, ""text"": ""1"", ""labels"": [""WGT""]}]",1,57,2022-02-04T03:29:40.652289Z,2022-02-04T03:29:40.652312Z,29.051
【湖北恩施 • 腊肉腊肠】 传统工艺  鲜肉原料 古法制作 片片入味 鲜香味美 小时候外婆家的味道,69,"[{""start"": 8, ""end"": 10, ""text"": ""腊肉"", ""labels"": [""PRD""]}, {""start"": 10, ""end"": 12, ""text"": ""腊肠"", ""labels"": [""PRD""]}]",1,56,2022-02-04T03:29:10.515834Z,2022-02-04T03:29:10.515857Z,14.802
【正常发货】【买3送2】初草堂雪梨枇杷糕 地道食材 口感软糯 滋养咽喉 16袋/盒,68,"[{""start"": 12, ""end"": 15, ""text"": ""初草堂"", ""labels"": [""BAND""]}, {""start"": 19, ""end"": 20, ""text"": ""糕"", ""labels"": [""PRD""]}]",1,55,2022-02-04T03:28:53.798307Z,2022-02-04T03:28:53.798329Z,20.649
【日抛67】Lighly LILY pink 20p/라일리릴리  핑크 20p,67,"[{""start"": 6, ""end"": 17, ""text"": ""Lighly LILY"", ""labels"": [""BAND""]}]",1,54,2022-02-04T03:28:31.355378Z,2022-02-04T03:28:31.355399Z,12.281
【心相印专区】心相印70抽塑装无印花厨房纸巾  抽纸吸水纸整箱家用  3包*4提（70抽/包）,66,"[{""start"": 7, ""end"": 10, ""text"": ""心相印"", ""labels"": [""BAND""]}, {""start"": 1, ""end"": 4, ""text"": ""心相印"", ""labels"": [""BAND""]}, {""start"": 20, ""end"": 22, ""text"": ""纸巾"", ""labels"": [""PRD""]}, {""start"": 35, ""end"": 36, ""text"": ""3"", ""labels"": [""CNT""]}, {""start"": 38, ""end"": 39, ""text"": ""4"", ""labels"": [""CNT""]}, {""start"": 41, ""end"": 43, ""text"": ""70"", ""labels"": [""CNT""]}]",1,53,2022-02-04T03:28:17.459103Z,2022-02-04T03:28:17.459135Z,35.463
【年货节】OIU净美公主磨砂膏 富勒烯烟酰胺提亮身体磨砂膏软化角质男女,65,"[{""start"": 5, ""end"": 8, ""text"": ""OIU"", ""labels"": [""BAND""]}, {""start"": 8, ""end"": 12, ""text"": ""净美公主"", ""labels"": [""BAND""]}, {""start"": 12, ""end"": 15, ""text"": ""磨砂膏"", ""labels"": [""PRD""]}]",1,52,2022-02-04T03:27:40.565168Z,2022-02-04T03:27:40.565189Z,17.699
【大牌同厂同质】90白鸭绒男士短款羽绒服,64,"[{""start"": 17, ""end"": 20, ""text"": ""羽绒服"", ""labels"": [""PRD""]}]",1,51,2022-02-04T03:27:21.505637Z,2022-02-04T03:27:21.505662Z,5.51
【双11抢先购】李宁男子针织连帽卫衣BADFIVE篮球长袖运动套头衫卫衣,63,"[{""start"": 8, ""end"": 10, ""text"": ""李宁"", ""labels"": [""BAND""]}, {""start"": 34, ""end"": 36, ""text"": ""卫衣"", ""labels"": [""PRD""]}]",1,50,2022-02-04T03:27:10.585125Z,2022-02-04T03:27:10.585152Z,12.318
【卡蒙迪】女装圆领小衫 C2YCN662/BV 蓝花【文峰如皋店】,62,"[{""start"": 9, ""end"": 11, ""text"": ""小衫"", ""labels"": [""PRD""]}, {""start"": 1, ""end"": 4, ""text"": ""卡蒙迪"", ""labels"": [""BAND""]}]",1,49,2022-02-04T03:26:57.045836Z,2022-02-04T03:26:57.045859Z,13.89
【加厚刺绣夹棉】冬季新品翻领保暖三层女士家居服内衣睡衣,61,"[{""start"": 25, ""end"": 27, ""text"": ""睡衣"", ""labels"": [""PRD""]}]",1,48,2022-02-04T03:26:29.195466Z,2022-02-04T03:26:29.195489Z,12.463
【体验官套装】天然硅泉水4L*4桶*48箱+智能设备1台  分期发货，（首发2箱+46箱水卡+智能设备）E套餐,60,"[{""start"": 53, ""end"": 55, ""text"": ""套餐"", ""labels"": [""PRD""]}, {""start"": 12, ""end"": 13, ""text"": ""4"", ""labels"": [""WGT""]}, {""start"": 15, ""end"": 16, ""text"": ""4"", ""labels"": [""CNT""]}, {""start"": 18, ""end"": 20, ""text"": ""48"", ""labels"": [""CNT""]}, {""start"": 26, ""end"": 27, ""text"": ""1"", ""labels"": [""CNT""]}]",1,47,2022-02-04T03:26:15.255754Z,2022-02-04T03:26:15.255788Z,43.546
【会员赠品】男士自动扣商务皮带,59,"[{""start"": 13, ""end"": 15, ""text"": ""皮带"", ""labels"": [""PRD""]}]",1,46,2022-02-04T03:25:30.035693Z,2022-02-04T03:25:30.035718Z,4.887
【中商原版】文豪野犬BEAST 漫画版 3 日文原版 文豪ストレイドッグスBEAST 3,57,,1,82,2022-02-04T03:41:20.109722Z,2022-02-04T03:41:20.109768Z,2.529
【七夕专享】大小直径年抛美瞳一片装,56,"[{""start"": 12, ""end"": 14, ""text"": ""美瞳"", ""labels"": [""PRD""]}, {""start"": 14, ""end"": 16, ""text"": ""一片"", ""labels"": [""CNT""]}]",1,44,2022-02-04T03:25:02.921061Z,2022-02-04T03:25:02.921087Z,13.847
【LY】炸豆腐片 200g,55,"[{""start"": 5, ""end"": 8, ""text"": ""豆腐片"", ""labels"": [""PRD""]}]",1,43,2022-02-04T03:24:34.734468Z,2022-02-04T03:24:34.734492Z,15.962
【CZL引进】乡妹子烤鸡翅尖25g/袋,54,"[{""start"": 14, ""end"": 16, ""text"": ""25"", ""labels"": [""WGT""]}, {""start"": 11, ""end"": 14, ""text"": ""鸡翅尖"", ""labels"": [""PRD""]}]",1,40,2022-02-04T03:23:54.083338Z,2022-02-04T03:23:54.083370Z,18.805
【19.9元/对】大号天丝兔耳枕套（1204058）,52,"[{""start"": 15, ""end"": 17, ""text"": ""枕套"", ""labels"": [""PRD""]}]",1,42,2022-02-04T03:24:11.540524Z,2022-02-04T03:24:11.540545Z,4.497
「法国90%家庭都在用」法国Boiron宝弘止痒修复膏 宝宝儿童婴儿防蚊虫叮咬止痒膏30g,51,"[{""start"": 39, ""end"": 42, ""text"": ""止痒膏"", ""labels"": [""PRD""]}, {""start"": 42, ""end"": 44, ""text"": ""30"", ""labels"": [""WGT""]}, {""start"": 14, ""end"": 20, ""text"": ""Boiron"", ""labels"": [""BAND""]}, {""start"": 20, ""end"": 22, ""text"": ""宝弘"", ""labels"": [""BAND""]}]",1,38,2022-02-02T12:12:57.337459Z,2022-02-02T12:12:57.337483Z,22.951
《芬达的秘密》(典藏版10直击邯郸娲皇宫)-人文秘境科幻探寻系列丛书,50,,1,81,2022-02-04T03:41:15.970738Z,2022-02-04T03:41:15.970761Z,1.984
《自然纪事： 塞拉菲尼原画复刻版》,49,,1,80,2022-02-04T03:41:13.082257Z,2022-02-04T03:41:13.082278Z,1.807
《可能这就是人生吧》——人民日报、十点读书推荐，文学泰斗梁实秋趣味散文选，创作100周年特别纪念,48,"[{""start"": 33, ""end"": 36, ""text"": ""散文选"", ""labels"": [""PRD""]}]",1,37,2022-02-02T12:12:25.865677Z,2022-02-02T12:12:25.865702Z,14.509
《XWI#夏季新品》女款半身裙女,47,"[{""start"": 12, ""end"": 15, ""text"": ""半身裙"", ""labels"": [""PRD""]}]",1,36,2022-02-02T12:12:09.803062Z,2022-02-02T12:12:09.803084Z,8.63
| 圣诞限定纸杯蛋糕 |,46,"[{""start"": 8, ""end"": 10, ""text"": ""蛋糕"", ""labels"": [""PRD""]}]",1,35,2022-02-02T12:11:59.894776Z,2022-02-02T12:11:59.894800Z,11.748
zara 黑白条纹无袖针织背心连衣裙,45,"[{""start"": 0, ""end"": 4, ""text"": ""zara"", ""labels"": [""BAND""]}, {""start"": 15, ""end"": 18, ""text"": ""连衣裙"", ""labels"": [""PRD""]}]",1,34,2022-02-02T12:11:46.962643Z,2022-02-02T12:11:46.962666Z,8.491
minipeace太平鸟童装女童套装夏季薄款樱桃宝宝背心吊带防蚊裤子,44,"[{""start"": 0, ""end"": 9, ""text"": ""minipeace"", ""labels"": [""BAND""]}, {""start"": 9, ""end"": 12, ""text"": ""太平鸟"", ""labels"": [""BAND""]}, {""start"": 32, ""end"": 34, ""text"": ""裤子"", ""labels"": [""PRD""]}]",1,33,2022-02-02T12:11:37.365510Z,2022-02-02T12:11:37.365542Z,40.355
kumikiwa精品冬靴10126,43,"[{""start"": 0, ""end"": 8, ""text"": ""kumikiwa"", ""labels"": [""BAND""]}, {""start"": 10, ""end"": 12, ""text"": ""冬靴"", ""labels"": [""PRD""]}]",1,32,2022-02-02T12:10:55.833665Z,2022-02-02T12:10:55.833691Z,12.493
casstta系列男款休闲鞋,42,"[{""start"": 0, ""end"": 7, ""text"": ""casstta"", ""labels"": [""BAND""]}, {""start"": 11, ""end"": 14, ""text"": ""休闲鞋"", ""labels"": [""PRD""]}]",1,31,2022-02-02T11:38:41.462009Z,2022-02-02T11:38:41.462031Z,15.14
babycare益智探索学习六面体7390（柯尼蓝）,41,"[{""start"": 0, ""end"": 8, ""text"": ""babycare"", ""labels"": [""BAND""]}, {""start"": 14, ""end"": 17, ""text"": ""六面体"", ""labels"": [""PRD""]}]",1,30,2022-02-02T11:38:24.490278Z,2022-02-02T11:38:24.490301Z,19.993
"[庭院种子] 小叶茼蒿种子 ""香菊三号""",40,"[{""start"": 1, ""end"": 5, ""text"": ""庭院种子"", ""labels"": [""BAND""]}, {""start"": 11, ""end"": 13, ""text"": ""种子"", ""labels"": [""PRD""]}]",1,29,2022-02-02T11:37:58.949976Z,2022-02-02T11:37:58.950000Z,14.302
ZIWI巅峰 鸡肉85g,39,"[{""start"": 0, ""end"": 4, ""text"": ""ZIWI"", ""labels"": [""BAND""]}, {""start"": 7, ""end"": 9, ""text"": ""鸡肉"", ""labels"": [""PRD""]}, {""start"": 9, ""end"": 11, ""text"": ""85"", ""labels"": [""WGT""]}]",1,28,2022-02-02T11:37:39.630133Z,2022-02-02T11:37:39.630156Z,14.217
W喉骨,38,,1,79,2022-02-04T03:41:10.340251Z,2022-02-04T03:41:10.340274Z,1.362
VEECOZHAO泡泡袖皮质连衣裙,37,"[{""start"": 14, ""end"": 17, ""text"": ""连衣裙"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 9, ""text"": ""VEECOZHAO"", ""labels"": [""BAND""]}]",1,27,2022-02-02T11:37:19.898706Z,2022-02-02T11:37:19.898735Z,8.306
Sugarplum 泰茶冻（年抛硅水）,36,"[{""start"": 0, ""end"": 9, ""text"": ""Sugarplum"", ""labels"": [""BAND""]}]",1,26,2022-02-02T11:37:10.473080Z,2022-02-02T11:37:10.473117Z,9.735
SOOYOO 2105,35,"[{""start"": 0, ""end"": 6, ""text"": ""SOOYOO"", ""labels"": [""BAND""]}]",1,25,2022-02-02T11:36:59.506051Z,2022-02-02T11:36:59.506074Z,5.513
SHIMASAKI 小野猫蓝（年抛）0/100度缺,34,"[{""start"": 0, ""end"": 9, ""text"": ""SHIMASAKI"", ""labels"": [""BAND""]}]",1,24,2022-02-02T11:36:52.713021Z,2022-02-02T11:36:52.713044Z,8.944
SA0300000077  HS机头C盖板,33,"[{""start"": 19, ""end"": 21, ""text"": ""盖板"", ""labels"": [""PRD""]}]",1,78,2022-02-04T03:41:07.515076Z,2022-02-04T03:41:07.515114Z,5.518
R10177,32,,1,77,2022-02-04T03:41:00.538940Z,2022-02-04T03:41:00.538966Z,0.986
Nega的果汁,31,"[{""start"": 5, ""end"": 7, ""text"": ""果汁"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 4, ""text"": ""Nega"", ""labels"": [""BAND""]}]",1,39,2022-02-04T03:22:56.387077Z,2022-02-04T03:22:56.387100Z,2.022
LAGOGO陈钰琪同款连衣裙,30,"[{""start"": 11, ""end"": 14, ""text"": ""连衣裙"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 6, ""text"": ""LAGOGO"", ""labels"": [""BAND""]}]",1,23,2022-02-02T11:35:57.205356Z,2022-02-02T11:35:57.205382Z,10.935
JuntoPearl Grey碗 15厘米,29,"[{""start"": 0, ""end"": 15, ""text"": ""JuntoPearl Grey"", ""labels"": [""BAND""]}, {""start"": 15, ""end"": 16, ""text"": ""碗"", ""labels"": [""PRD""]}]",1,22,2022-02-02T11:35:44.953047Z,2022-02-02T11:35:44.953070Z,14.409
JINFÚLAN瑾芙兰氨基酸洗护套,28,"[{""start"": 0, ""end"": 8, ""text"": ""JINFÚLAN"", ""labels"": [""BAND""]}, {""start"": 8, ""end"": 11, ""text"": ""瑾芙兰"", ""labels"": [""BAND""]}, {""start"": 14, ""end"": 17, ""text"": ""洗护套"", ""labels"": [""PRD""]}]",1,21,2022-02-02T11:35:29.434032Z,2022-02-02T11:35:29.434056Z,25.145
JH060310 大振小吃888疯狂烤c——五种不同口w腌l,27,,1,76,2022-02-04T03:40:58.359259Z,2022-02-04T03:40:58.359281Z,8.604
IEF/爱依服休闲裤女2021夏季新款复古英伦风高腰皮带链条阔腿短裤2225A-D25828-,26,"[{""start"": 26, ""end"": 28, ""text"": ""皮带"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 3, ""text"": ""IEF"", ""labels"": [""BAND""]}, {""start"": 4, ""end"": 7, ""text"": ""爱依服"", ""labels"": [""BAND""]}]",1,20,2022-02-02T11:34:57.312881Z,2022-02-02T11:34:57.312904Z,45.722
GF SPACE 驼背矫正隐形内衣无钢圈背揹佳,25,"[{""start"": 15, ""end"": 17, ""text"": ""内衣"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 8, ""text"": ""GF SPACE"", ""labels"": [""BAND""]}]",1,75,2022-02-04T03:40:48.608101Z,2022-02-04T03:40:48.608123Z,2.148
FKTSS2001089-BT恤黑色XL,24,"[{""start"": 14, ""end"": 16, ""text"": ""T恤"", ""labels"": [""PRD""]}]",1,19,2022-02-02T11:33:54.773024Z,2022-02-02T11:33:54.773046Z,11.821
CELIN*同款 经典复古波点连衣裙 收腰放摆 又甜又帅 修饰身形不显胯宽,22,"[{""start"": 15, ""end"": 18, ""text"": ""连衣裙"", ""labels"": [""PRD""]}]",1,17,2022-02-02T11:33:26.792829Z,2022-02-02T11:33:26.792853Z,12.094
C96  清仓！不退不换！！优衣库羊羔绒外套 S尺码,21,"[{""start"": 20, ""end"": 22, ""text"": ""外套"", ""labels"": [""PRD""]}, {""start"": 14, ""end"": 17, ""text"": ""优衣库"", ""labels"": [""BAND""]}]",1,16,2022-02-02T11:33:13.418664Z,2022-02-02T11:33:13.418691Z,56.258
BAGUETTE 鳄鱼纹黑色,20,"[{""start"": 0, ""end"": 8, ""text"": ""BAGUETTE"", ""labels"": [""BAND""]}]",1,74,2022-02-04T03:40:43.178654Z,2022-02-04T03:40:43.178677Z,12.816
ATMOS x MATT WEBER x EXPANSION “HIGHER GOAL 1987“,19,,1,73,2022-02-04T03:40:29.427303Z,2022-02-04T03:40:29.427327Z,1.204
AM路卡西新款冬季时尚复古牛角扣短款连帽毛呢大衣,18,"[{""start"": 22, ""end"": 24, ""text"": ""大衣"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 5, ""text"": ""AM路卡西"", ""labels"": [""BAND""]}]",1,15,2022-02-02T11:31:14.772833Z,2022-02-02T11:31:14.772856Z,11.162
AL大码宽松民族风刺绣圆领t恤,17,"[{""start"": 13, ""end"": 15, ""text"": ""t恤"", ""labels"": [""PRD""]}]",1,14,2022-02-02T11:31:01.634693Z,2022-02-02T11:31:01.634715Z,20.357
AH-905时尚洒水壶,16,"[{""start"": 8, ""end"": 11, ""text"": ""洒水壶"", ""labels"": [""PRD""]}]",1,13,2022-02-02T11:30:39.953376Z,2022-02-02T11:30:39.953402Z,4.522
8047N明眸亮肌美化膜,15,"[{""start"": 9, ""end"": 12, ""text"": ""美化膜"", ""labels"": [""PRD""]}]",1,12,2022-02-02T11:30:33.679303Z,2022-02-02T11:30:33.679337Z,13.131
64105211,13,,1,72,2022-02-04T03:40:26.606761Z,2022-02-04T03:40:26.606788Z,0.992
3CE我型我塑三色修容粉,11,"[{""start"": 9, ""end"": 12, ""text"": ""修容粉"", ""labels"": [""PRD""]}, {""start"": 3, ""end"": 7, ""text"": ""我型我塑"", ""labels"": [""BAND""]}]",1,11,2022-02-02T11:29:55.262718Z,2022-02-02T11:29:55.262739Z,7.658
3276二代九牧菜盆,10,"[{""start"": 6, ""end"": 8, ""text"": ""九牧"", ""labels"": [""BAND""]}, {""start"": 8, ""end"": 10, ""text"": ""菜盆"", ""labels"": [""PRD""]}]",1,10,2022-02-02T11:29:46.198437Z,2022-02-02T11:29:46.198461Z,8.253
22黄冈名卷/小三语文上,9,"[{""start"": 2, ""end"": 6, ""text"": ""黄冈名卷"", ""labels"": [""BAND""]}]",1,9,2022-02-02T11:29:36.602809Z,2022-02-02T11:29:36.602831Z,8.543
2022开运必备｜虎年“注定红”｜荷兰进口朱顶红,8,"[{""start"": 21, ""end"": 24, ""text"": ""朱顶红"", ""labels"": [""PRD""]}]",1,8,2022-02-02T11:29:19.758117Z,2022-02-02T11:29:19.758141Z,6.967
2021秋冬 羊绒短外套,7,"[{""start"": 10, ""end"": 12, ""text"": ""外套"", ""labels"": [""PRD""]}]",1,7,2022-02-02T11:29:11.602326Z,2022-02-02T11:29:11.602359Z,10.134
126g汉超下饭菜1*40,5,"[{""start"": 6, ""end"": 9, ""text"": ""下饭菜"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 3, ""text"": ""126"", ""labels"": [""WGT""]}, {""start"": 11, ""end"": 13, ""text"": ""40"", ""labels"": [""CNT""]}]",1,5,2022-02-02T11:28:57.913460Z,2022-02-02T11:28:57.913489Z,0.802
120片 儿童拼图 塑料拼图 T1068 么团-游乐时光,4,"[{""start"": 0, ""end"": 3, ""text"": ""120"", ""labels"": [""CNT""]}]",1,3,2022-02-02T11:28:51.293085Z,2022-02-02T11:28:51.293105Z,0.895
07165,3,,1,71,2022-02-04T03:40:24.801846Z,2022-02-04T03:40:24.801873Z,1.174
(ZJ)迷失海岸迷雾快艇双倍IPA啤酒,2,"[{""start"": 17, ""end"": 19, ""text"": ""啤酒"", ""labels"": [""PRD""]}]",1,4,2022-02-02T11:28:53.467461Z,2022-02-02T11:28:53.467483Z,0.811
#127 4X4斜角梁,1,,1,70,2022-02-04T03:40:22.388755Z,2022-02-04T03:40:22.388781Z,0.997
